I-iSQI,I-bSQI,I-pSQI,I-sSQI,I-kSQI,I-fSQI,II-iSQI,II-bSQI,II-pSQI,II-sSQI,II-kSQI,II-fSQI,III-iSQI,III-bSQI,III-pSQI,III-sSQI,III-kSQI,III-fSQI,AVR-iSQI,AVR-bSQI,AVR-pSQI,AVR-sSQI,AVR-kSQI,AVR-fSQI,AVL-iSQI,AVL-bSQI,AVL-pSQI,AVL-sSQI,AVL-kSQI,AVL-fSQI,AVF-iSQI,AVF-bSQI,AVF-pSQI,AVF-sSQI,AVF-kSQI,AVF-fSQI,V1-iSQI,V1-bSQI,V1-pSQI,V1-sSQI,V1-kSQI,V1-fSQI,V2-iSQI,V2-bSQI,V2-pSQI,V2-sSQI,V2-kSQI,V2-fSQI,V3-iSQI,V3-bSQI,V3-pSQI,V3-sSQI,V3-kSQI,V3-fSQI,V4-iSQI,V4-bSQI,V4-pSQI,V4-sSQI,V4-kSQI,V4-fSQI,V5-iSQI,V5-bSQI,V5-pSQI,V5-sSQI,V5-kSQI,V5-fSQI,V6-iSQI,V6-bSQI,V6-pSQI,V6-sSQI,V6-kSQI,V6-fSQI,label
3.000000e-01,2.500000e-01,8.938030e-01,1.351069e+00,1,2.040408e-02,1.818182e-01,2.500000e-01,6.395999e-01,1.006302e+00,1,1.060212e-02,1.818182e-01,2.500000e-01,1.202274e+00,-1.909150e+00,1,1.060212e-02,1.818182e-01,2.500000e-01,6.365808e-01,-1.445118e+00,1,1.260252e-02,3.000000e-01,2.500000e-01,9.100974e-01,-1.031374e+00,1,8.001600e-03,1.818182e-01,2.500000e-01,1.293441e+00,1.453348e+00,1,2.100420e-02,3.000000e-01,2.500000e-01,1.201111e+00,-1.615175e+00,1,2.020404e-02,3.000000e-01,2.500000e-01,1.255346e+00,-1.896772e+00,1,1.300260e-02,3.000000e-01,2.500000e-01,6.358253e-01,-1.754704e+00,1,1.000200e-02,3.000000e-01,2.500000e-01,6.038026e-01,-6.424424e-01,1,8.401680e-03,3.000000e-01,2.500000e-01,6.306489e-01,1.071080e+00,1,8.401680e-03,3.000000e-01,2.500000e-01,6.315829e-01,1.486638e+00,1,1.400280e-02,1
2.000000e-01,1.000000e-01,5.936388e-01,1.062916e+00,1,2.420484e-02,2.000000e-01,1.000000e-01,6.551813e-01,1.314428e+00,1,1.840368e-02,2.000000e-01,1.000000e-01,1.048398e+00,8.509340e-01,1,1.960392e-02,2.000000e-01,1.000000e-01,5.908822e-01,-1.300411e+00,1,1.900380e-02,0,0,8.199314e-01,1.234061e+00,1,1.880376e-02,2.000000e-01,1.000000e-01,2.771651e-01,4.143105e-01,0,3.360672e-02,0,1.000000e-01,8.955061e-01,-1.638561e+00,1,2.120424e-02,0,1.000000e-01,7.578995e-01,-3.038743e-01,1,2.580516e-02,2.000000e-01,1.000000e-01,7.855627e-01,7.478184e-01,1,1.840368e-02,2.000000e-01,1.000000e-01,6.639039e-01,1.020339e+00,1,1.360272e-02,2.000000e-01,1.000000e-01,6.681274e-01,1.233008e+00,1,1.520304e-02,2.000000e-01,1.000000e-01,6.893352e-01,1.550204e+00,1,2.900580e-02,1
1.111111e-01,1.666667e-01,5.269776e-01,-6.152855e-01,0,1.100220e-02,2.500000e-01,1.666667e-01,1.809920e+00,-8.749693e-01,0,8.201640e-03,1.111111e-01,1.666667e-01,1.305480e+00,7.025466e-01,0,5.401080e-03,2.500000e-01,1.666667e-01,8.054921e-01,4.922217e-01,0,9.801960e-03,2.500000e-01,1.666667e-01,1.983491e+00,-1.202959e+00,1,9.201840e-03,2.500000e-01,1.666667e-01,6.239846e-01,-8.136331e-01,0,7.001400e-03,2.500000e-01,0,4.413849e-01,4.181921e-01,1,5.201040e-03,2.500000e-01,1.666667e-01,8.258987e-01,4.132254e-01,0,9.601920e-03,2.500000e-01,1.666667e-01,1.589414e+00,-4.607412e-01,0,1.140228e-02,1.111111e-01,1.666667e-01,8.175158e-01,-1.428514e+00,1,1.440288e-02,1.111111e-01,1.666667e-01,5.084657e-01,-6.839972e-01,0,1.140228e-02,2.500000e-01,1.666667e-01,8.753344e-01,-7.142985e-01,0,1.360272e-02,-1
2.222222e-01,2.500000e-01,9.212700e-01,-5.235101e-01,1,1.420284e-02,2.222222e-01,2.500000e-01,1.006336e+00,-2.568267e-01,1,3.800760e-03,1.000000e-01,2.500000e-01,8.344486e-01,4.718571e-01,1,7.201440e-03,2.222222e-01,2.500000e-01,1.005183e+00,4.940182e-01,1,1.320264e-02,2.222222e-01,2.500000e-01,5.782566e-01,1.516962e-01,1,8.001600e-03,1.000000e-01,2.222222e-01,9.129235e-01,-5.222901e-01,1,1.280256e-02,2.222222e-01,0,4.492624e-01,-1.503095e+00,1,1.440288e-02,2.222222e-01,2.500000e-01,1.305199e+00,-2.738454e-01,1,1.260252e-02,1.000000e-01,2.500000e-01,1.383045e+00,-1.765138e-01,1,2.860572e-02,2.222222e-01,2.500000e-01,1.349029e+00,-2.147831e+00,1,3.040608e-02,2.222222e-01,2.500000e-01,1.267859e+00,-1.264226e+00,1,3.660732e-02,2.222222e-01,2.500000e-01,1.273238e+00,-2.577419e-01,1,2.780556e-02,-1
1.000000e-01,1.666667e-01,1.170552e+00,-5.185289e-01,1,3.400680e-03,1.000000e-01,1.666667e-01,8.544241e-01,4.752801e-01,1,3.600720e-03,0,1.666667e-01,7.565605e-01,6.514498e-01,1,4.600920e-03,1.000000e-01,1.666667e-01,1.023316e+00,-1.445693e-01,1,3.600720e-03,1.000000e-01,1.666667e-01,7.661802e-01,6.351869e-01,1,5.001000e-03,2.222222e-01,1.666667e-01,1.030833e+00,-9.910697e-01,1,3.600720e-03,2.222222e-01,1.666667e-01,1.186957e+00,-1.909437e+00,1,1.260252e-02,2.222222e-01,1.666667e-01,1.119362e+00,-1.970390e+00,1,9.401880e-03,2.222222e-01,1.666667e-01,1.073166e+00,-2.431783e+00,1,1.060212e-02,2.222222e-01,1.666667e-01,1.047227e+00,-2.668042e+00,1,6.401280e-03,2.222222e-01,1.666667e-01,1.095020e+00,-1.404097e+00,1,9.401880e-03,2.222222e-01,1.666667e-01,1.189314e+00,-4.266828e-01,1,1.060212e-02,1
3.750000e-01,1.875000e-01,8.167421e-01,7.326358e-02,1,1.220244e-02,3.750000e-01,1.875000e-01,9.940985e-01,-1.570313e+00,1,1.220244e-02,3.750000e-01,1.875000e-01,1.592541e+00,-3.475215e-01,0,8.201640e-03,2.222222e-01,1.875000e-01,7.199901e-01,6.592449e-01,1,1.440288e-02,3.750000e-01,1.875000e-01,1.118324e+00,-1.148003e+00,0,7.401480e-03,3.750000e-01,1.875000e-01,1.427255e+00,2.729853e-01,0,5.401080e-03,3.750000e-01,1.875000e-01,9.234777e-01,3.411676e-01,1,1.460292e-02,2.222222e-01,1.875000e-01,1.395893e+00,4.042236e-01,0,1.160232e-02,2.222222e-01,1.875000e-01,1.157255e+00,-2.566695e+00,1,9.001800e-03,3.750000e-01,1.875000e-01,1.015688e+00,-1.896701e+00,1,7.001400e-03,3.750000e-01,1.875000e-01,9.432357e-01,-1.595266e+00,1,1.320264e-02,3.750000e-01,1.875000e-01,9.599214e-01,-1.296428e+00,1,1.000200e-02,1
3.333333e-01,1.666667e-01,8.242945e-01,1.161402e+00,1,2.260452e-02,3.333333e-01,1.666667e-01,5.258183e-01,1.445437e+00,1,2.160432e-02,1.428571e-01,1.666667e-01,1.022727e+00,1.514052e+00,1,1.760352e-02,3.333333e-01,1.666667e-01,6.426946e-01,-1.371473e+00,1,2.600520e-02,1.428571e-01,0,6.139963e-01,1.529637e+00,1,1.800360e-02,3.333333e-01,1.666667e-01,3.564509e-01,2.917685e-03,1,3.440688e-02,3.333333e-01,1.666667e-01,8.338189e-01,-1.051933e+00,1,2.640528e-02,1.428571e-01,1.666667e-01,3.138945e-01,-3.649100e-01,0,1.340268e-02,1.428571e-01,1.666667e-01,6.641553e-01,9.738169e-01,1,2.480496e-02,3.333333e-01,1.666667e-01,6.759088e-01,1.063614e+00,1,3.000600e-02,3.333333e-01,1.666667e-01,5.393585e-01,1.226104e+00,1,2.940588e-02,3.333333e-01,1.666667e-01,5.901482e-01,1.079603e+00,1,3.480696e-02,1
1.500000e-01,1.666667e-01,7.754546e-01,3.078258e-01,1,1.240248e-02,1.500000e-01,1.666667e-01,7.172560e-01,3.557006e-01,1,7.801560e-03,9.523810e-02,4.545455e-02,6.800278e-01,6.091120e-02,0,6.801360e-03,9.523810e-02,1.666667e-01,7.383126e-01,-3.710526e-01,1,8.001600e-03,9.523810e-02,1.578947e-01,8.341940e-01,2.554395e-01,0,5.601120e-03,9.523810e-02,0,8.874215e-01,-1.329146e-02,1,8.801760e-03,1.500000e-01,2.222222e-01,6.366001e-01,-1.058103e-01,0,9.001800e-03,9.523810e-02,1.666667e-01,7.505450e-01,-1.575974e+00,1,8.001600e-03,1.500000e-01,2.222222e-01,7.864275e-01,-1.683909e+00,1,8.001600e-03,1.500000e-01,1.666667e-01,1.061253e+00,-1.068681e+00,1,1.380276e-02,9.523810e-02,1.666667e-01,1.033775e+00,-4.457612e-02,1,8.201640e-03,9.523810e-02,1.666667e-01,8.677161e-01,2.461712e-01,1,1.240248e-02,1
3.333333e-01,1.333333e-01,1.007563e+00,-2.293973e-01,1,1.120224e-02,3.333333e-01,1.333333e-01,8.444469e-01,3.219745e-01,1,1.540308e-02,1.428571e-01,1.333333e-01,1.208690e+00,8.271057e-01,1,1.400280e-02,3.333333e-01,1.333333e-01,7.655849e-01,-2.172341e-01,1,9.601920e-03,3.333333e-01,1.333333e-01,1.342694e+00,9.698257e-02,1,1.420284e-02,1.428571e-01,1.333333e-01,1.235569e+00,-1.621440e+00,1,2.980596e-02,3.333333e-01,1.333333e-01,1.066181e+00,-1.152494e+00,1,2.440488e-02,1.428571e-01,1.333333e-01,1.281606e+00,-2.304125e+00,1,1.560312e-02,3.333333e-01,1.333333e-01,1.234789e+00,-1.999661e+00,1,1.120224e-02,3.333333e-01,1.333333e-01,1.225848e+00,-1.204652e+00,1,8.201640e-03,1.428571e-01,1.333333e-01,1.186701e+00,-7.748715e-01,1,5.601120e-03,3.333333e-01,1.333333e-01,1.211418e+00,-3.796384e-01,1,7.201440e-03,1
2.000000e-01,2.142857e-01,2.926279e-01,8.385739e-02,0,8.601720e-03,1.250000e-01,2.142857e-01,3.691118e-01,-5.680200e-01,0,1.560312e-02,5.882353e-02,2.142857e-01,1.799165e-01,1.524931e-01,0,8.001600e-03,2.000000e-01,2.142857e-01,3.932653e-01,1.635422e-02,0,1.540308e-02,2.000000e-01,2.142857e-01,1.641463e-01,1.684976e-01,0,8.401680e-03,2.000000e-01,2.142857e-01,2.339727e-01,-6.701570e-02,0,1.000200e-02,2.000000e-01,0,9.980719e-02,3.078724e-01,1,4.400880e-03,1.250000e-01,2.142857e-01,2.592735e-01,-2.261404e-01,0,6.601320e-03,2.000000e-01,2.142857e-01,2.703208e-01,-3.255727e-01,0,3.800760e-03,1.250000e-01,2.142857e-01,1.514570e-01,-1.197582e-01,0,6.601320e-03,1.250000e-01,2.142857e-01,2.228003e-01,6.997805e-02,0,1.760352e-02,5.882353e-02,2.142857e-01,1.630066e+00,-7.353564e-01,0,1.180236e-02,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1
2.000000e-01,1.428571e-01,1.736465e+00,-9.785708e-01,1,2.640528e-02,2.000000e-01,1.428571e-01,1.456866e+00,-5.181628e-01,1,1.600320e-02,2.000000e-01,1.428571e-01,1.664257e+00,6.014099e-01,1,1.020204e-02,2.000000e-01,1.428571e-01,1.313737e+00,1.955023e+00,1,2.560512e-02,0,1.428571e-01,1.566563e+00,2.055407e-01,1,1.300260e-02,2.000000e-01,1.428571e-01,1.808367e+00,-9.229258e-01,1,1.760352e-02,2.000000e-01,1.428571e-01,9.550971e-01,-5.283905e-01,1,3.680736e-02,2.000000e-01,1.428571e-01,5.871793e-01,-1.639054e-01,1,2.980596e-02,0,1.428571e-01,7.628275e-01,4.926343e-02,1,1.820364e-02,0,1.428571e-01,1.190153e+00,-9.372248e-01,1,1.920384e-02,2.000000e-01,1.428571e-01,1.352523e+00,-1.716175e+00,1,2.160432e-02,2.000000e-01,1.428571e-01,1.376060e+00,-1.878165e+00,1,2.380476e-02,1
2.000000e-01,1.500000e-01,6.731670e-01,-5.096785e-01,0,8.601720e-03,5.882353e-02,1.500000e-01,4.239352e-01,-2.776953e-01,0,2.060412e-02,1.250000e-01,1.500000e-01,7.592354e-01,7.444785e-01,0,1.120224e-02,5.882353e-02,1.500000e-01,7.045120e-01,3.898113e-01,0,1.240248e-02,2.000000e-01,1.500000e-01,8.420467e-01,5.876565e-01,0,1.760352e-02,1.250000e-01,1.500000e-01,8.098966e-01,-6.182914e-01,0,9.801960e-03,2.000000e-01,1.500000e-01,8.951933e-01,6.685031e-01,0,6.401280e-03,1.250000e-01,1.500000e-01,1.070568e+00,6.878030e-01,0,5.801160e-03,2.000000e-01,1.500000e-01,7.385328e-01,7.402889e-01,0,5.601120e-03,1.250000e-01,1.500000e-01,1.236948e+00,8.210710e-01,0,1.100220e-02,2.000000e-01,1.500000e-01,1.364344e+00,8.478584e-01,0,1.060212e-02,1.250000e-01,1.500000e-01,1.365782e+00,-6.494343e-01,0,1.240248e-02,1
1.538462e-01,1.538462e-01,1.609475e-01,1.024041e-01,0,1.120224e-02,0,0,4.683601e-02,-3.470443e-01,0,1.040208e-02,1.538462e-01,1.538462e-01,6.268803e-01,-6.010450e-01,0,6.201240e-03,1.538462e-01,1.538462e-01,1.573415e-01,6.276347e-02,0,9.601920e-03,1.538462e-01,1.538462e-01,9.606262e-01,-1.233952e+00,1,1.220244e-02,1.538462e-01,1.538462e-01,3.129557e-01,3.007486e-01,0,6.601320e-03,1.538462e-01,1.538462e-01,5.055747e-01,-4.156400e-01,0,7.401480e-03,7.142857e-02,1.538462e-01,6.676202e-01,-1.315074e+00,1,1.560312e-02,1.538462e-01,1.538462e-01,5.514264e-01,-1.844549e+00,1,1.980396e-02,7.142857e-02,0,6.223367e-01,1.810572e+00,1,1.320264e-02,7.142857e-02,1.538462e-01,3.666885e-01,-1.108543e+00,1,1.300260e-02,7.142857e-02,1.764706e-01,8.898781e-02,-3.875542e-01,1,1.940388e-02,1
2.222222e-01,2.000000e-01,8.415835e-01,-4.123441e-01,1,1.340268e-02,2.222222e-01,2.000000e-01,9.172464e-01,3.372500e-01,1,1.100220e-02,0,2.000000e-01,9.827555e-01,1.320138e+00,1,1.220244e-02,1.000000e-01,2.000000e-01,8.916646e-01,-3.667186e-02,1,1.400280e-02,1.000000e-01,2.000000e-01,1.058583e+00,7.019233e-01,1,1.340268e-02,2.222222e-01,2.000000e-01,8.018870e-01,-1.621661e+00,1,1.720344e-02,2.222222e-01,2.000000e-01,1.048014e+00,9.515181e-01,1,1.720344e-02,1.000000e-01,2.000000e-01,7.889675e-01,-1.235345e-01,1,1.820364e-02,1.000000e-01,2.000000e-01,1.107854e+00,-1.786042e+00,1,1.880376e-02,2.222222e-01,2.000000e-01,9.998032e-01,-1.612169e+00,1,1.500300e-02,1.000000e-01,2.000000e-01,9.365543e-01,-6.143909e-01,1,1.700340e-02,2.222222e-01,2.000000e-01,9.176529e-01,-4.050203e-01,1,1.200240e-02,1
1.428571e-01,1.600000e-01,6.774419e-01,4.830006e-01,0,1.000200e-02,2.000000e-01,1.538462e-01,3.138437e-01,3.718600e-01,0,8.001600e-03,2.000000e-01,1.666667e-01,7.045084e-01,4.829301e-01,0,8.201640e-03,9.090909e-02,0,3.860043e-01,-5.012543e-02,0,9.601920e-03,9.090909e-02,1.666667e-01,4.520128e-01,5.928286e-01,0,7.201440e-03,2.000000e-01,1.600000e-01,8.335608e-01,5.375766e-03,0,1.180236e-02,1.428571e-01,2.173913e-01,6.515774e-01,7.721692e+00,1,1.820364e-02,1.428571e-01,1.666667e-01,5.900255e-01,6.542900e-01,0,3.800760e-03,1.428571e-01,1.666667e-01,6.025436e-01,5.455932e-01,0,8.201640e-03,2.000000e-01,1.666667e-01,5.029176e-01,3.434649e-01,0,1.380276e-02,1.428571e-01,1.666667e-01,5.012816e-01,2.622803e-01,0,8.401680e-03,2.000000e-01,1.666667e-01,6.138393e-01,3.878886e-01,0,7.601520e-03,-1
1.818182e-01,2.222222e-01,5.860324e-01,-3.806824e-03,1,3.380676e-02,1.818182e-01,2.222222e-01,6.226446e-01,-5.695419e-02,1,2.480496e-02,1.818182e-01,2.222222e-01,1.238200e+00,-5.817475e-02,1,3.680736e-02,8.333333e-02,2.222222e-01,4.381512e-01,5.281491e-02,1,3.220644e-02,8.333333e-02,2.222222e-01,1.131758e+00,1.257183e-01,1,2.780556e-02,1.818182e-01,2.222222e-01,9.871049e-01,1.245914e-01,1,2.880576e-02,8.333333e-02,0,2.663543e-01,-7.846840e-01,1,6.801360e-03,0,2.222222e-01,5.661146e-01,3.127428e-01,0,1.300260e-02,1.818182e-01,2.222222e-01,4.465340e-01,-5.646521e-01,0,8.201640e-03,0,1.428571e-01,4.528309e-01,-4.806006e-01,1,8.401680e-03,1.818182e-01,2.222222e-01,4.567285e-01,1.011626e-01,1,1.800360e-02,1.818182e-01,2.222222e-01,5.918346e-01,-1.997063e-01,1,3.620724e-02,-1
7.142857e-02,1.666667e-01,1.051940e+00,1.989309e-01,0,9.201840e-03,7.142857e-02,1.666667e-01,3.620452e-01,-2.397237e-01,0,1.060212e-02,1.538462e-01,1.666667e-01,1.646753e+00,-5.094588e-02,1,1.620324e-02,1.538462e-01,1.666667e-01,2.107021e-01,-1.710697e-01,0,8.601720e-03,1.538462e-01,1.666667e-01,1.370790e+00,-1.609029e-01,1,1.120224e-02,1.538462e-01,1.666667e-01,1.580321e+00,7.178691e-02,1,1.380276e-02,7.142857e-02,1.666667e-01,6.510820e-01,-3.340603e-01,0,8.201640e-03,1.538462e-01,1.666667e-01,1.023021e+00,-1.552413e-01,0,8.601720e-03,0,1.666667e-01,7.860553e-01,-2.201640e+00,1,1.780356e-02,7.142857e-02,1.666667e-01,8.855675e-01,-1.203096e+00,1,6.401280e-03,7.142857e-02,1.666667e-01,5.046388e-01,-8.087142e-01,1,7.601520e-03,0,1.666667e-01,3.246053e-01,-2.339694e-01,1,9.201840e-03,1
2.857143e-01,2.000000e-01,8.949841e-01,7.006194e-01,1,2.260452e-02,2.857143e-01,2.000000e-01,1.067676e+00,6.987006e-02,1,1.460292e-02,2.857143e-01,2.000000e-01,1.222257e+00,-1.390374e+00,1,1.440288e-02,2.857143e-01,2.000000e-01,9.206362e-01,-4.820611e-01,1,2.220444e-02,2.857143e-01,2.000000e-01,1.333827e+00,-2.637129e+00,1,1.700340e-02,1.250000e-01,2.000000e-01,8.283179e-01,9.270871e-01,1,1.340268e-02,2.857143e-01,2.000000e-01,7.741288e-01,1.368375e-01,1,1.960392e-02,1.250000e-01,8.333333e-02,9.408507e-02,5.878508e-01,1,1.020204e-02,2.857143e-01,2.000000e-01,8.900807e-01,3.751483e-01,1,2.060412e-02,2.857143e-01,2.000000e-01,9.872416e-01,5.636304e-01,1,2.880576e-02,1.250000e-01,2.000000e-01,1.038953e+00,2.818867e-01,1,3.800760e-02,2.857143e-01,2.000000e-01,1.089806e+00,-6.845092e-02,1,2.780556e-02,1
2.222222e-01,2.222222e-01,5.283090e-01,-1.593961e+00,1,1.260252e-02,1.000000e-01,2.222222e-01,7.891073e-01,-1.051800e+00,1,4.120824e-02,2.222222e-01,2.222222e-01,8.947704e-01,1.997369e+00,1,1.820364e-02,2.222222e-01,2.222222e-01,6.377372e-01,1.115770e+00,1,3.240648e-02,2.222222e-01,2.222222e-01,9.262284e-01,1.150045e+00,1,1.800360e-02,2.222222e-01,2.222222e-01,7.258268e-01,-1.873527e+00,1,1.300260e-02,2.222222e-01,2.222222e-01,1.068855e+00,1.523631e+00,1,2.420484e-02,1.000000e-01,2.222222e-01,1.024955e+00,1.329846e+00,1,1.920384e-02,1.000000e-01,2.222222e-01,1.124293e+00,-1.362944e+00,1,3.080616e-02,2.222222e-01,2.222222e-01,1.174974e+00,-3.887856e+00,1,4.980996e-02,0,2.222222e-01,1.002538e+00,-1.484465e+00,1,4.040808e-02,2.222222e-01,2.222222e-01,9.454308e-01,-8.988339e-01,1,3.140628e-02,1
3.333333e-01,2.000000e-01,6.849670e-01,1.437904e-01,1,1.640328e-02,3.333333e-01,0,1.429677e-01,-1.201809e-01,1,1.040208e-02,0,0,1.415919e-01,-1.195478e-01,1,8.401680e-03,3.333333e-01,0,1.444852e-01,1.208696e-01,1,1.140228e-02,3.333333e-01,0,1.422939e-01,-1.198816e-01,1,1.220244e-02,3.333333e-01,0,1.405424e-01,1.188603e-01,1,1.000200e-02,3.333333e-01,0,1.567088e-01,-1.881057e-01,1,8.801760e-03,3.333333e-01,0,1.499441e-01,-1.674609e-01,1,1.200240e-02,3.333333e-01,0,1.550595e-01,-1.830405e-01,1,1.000200e-02,3.333333e-01,0,1.711135e-01,-2.591778e-01,1,8.401680e-03,3.333333e-01,0,1.622314e-01,-2.166893e-01,1,9.001800e-03,3.333333e-01,0,1.669239e-01,-2.399752e-01,1,8.601720e-03,-1
2.857143e-01,2.500000e-01,2.014066e+00,-1.140802e+00,1,2.620524e-02,2.857143e-01,2.500000e-01,8.796178e-01,-4.477610e-01,1,1.540308e-02,2.857143e-01,2.500000e-01,1.058523e+00,3.701371e-01,1,8.001600e-03,2.857143e-01,2.500000e-01,7.781622e-01,7.937075e-01,1,2.160432e-02,2.857143e-01,2.500000e-01,1.002592e+00,2.020332e-02,1,1.560312e-02,2.857143e-01,2.500000e-01,1.201311e+00,-7.590631e-01,1,1.320264e-02,2.857143e-01,2.500000e-01,5.401466e-01,3.590036e-01,1,1.440288e-02,1.250000e-01,2.500000e-01,6.481186e-01,3.357162e-01,1,1.720344e-02,1.250000e-01,2.500000e-01,2.273447e-01,4.725787e-01,0,1.100220e-02,2.857143e-01,2.500000e-01,1.133562e+00,-1.766462e+00,1,1.780356e-02,2.857143e-01,2.500000e-01,9.829326e-01,-1.293785e+00,1,2.220444e-02,1.250000e-01,2.500000e-01,7.448059e-01,-8.607538e-01,1,1.560312e-02,1
2.500000e-01,2.222222e-01,1.049178e+00,7.255834e-01,1,1.240248e-02,2.500000e-01,2.222222e-01,6.216337e-01,1.205003e+00,1,1.760352e-02,2.500000e-01,2.222222e-01,1.202605e+00,7.239215e-02,1,8.001600e-03,2.500000e-01,2.222222e-01,9.845614e-01,-1.081960e+00,1,1.440288e-02,2.500000e-01,2.222222e-01,6.736976e-01,1.866882e-02,1,1.240248e-02,2.500000e-01,2.222222e-01,1.154550e+00,3.426239e-01,1,1.160232e-02,2.500000e-01,2.222222e-01,9.455652e-01,1.384698e-02,1,2.660532e-02,1.111111e-01,2.222222e-01,1.162643e+00,-3.690353e+00,1,2.180436e-02,1.111111e-01,2.222222e-01,1.081754e+00,-1.448038e+00,1,2.340468e-02,2.500000e-01,2.222222e-01,1.107650e+00,-1.572784e+00,1,3.300660e-02,1.111111e-01,2.222222e-01,5.278342e-01,-7.934685e-01,1,2.460492e-02,1.111111e-01,2.222222e-01,5.406650e-01,1.950046e-01,1,2.960592e-02,1
0,1.111111e-01,1.066610e+00,-5.393730e-01,1,1.720344e-02,3.333333e-01,1.111111e-01,1.244687e+00,1.433374e-01,1,1.660332e-02,3.333333e-01,1.111111e-01,1.151869e+00,5.698728e-01,1,9.201840e-03,0,1.111111e-01,1.189693e+00,8.868863e-01,1,1.880376e-02,3.333333e-01,1.111111e-01,1.136899e+00,4.402867e-01,1,1.540308e-02,3.333333e-01,1.111111e-01,1.272485e+00,-6.438844e-01,1,1.000200e-02,3.333333e-01,1.111111e-01,1.140698e+00,8.221022e-01,1,1.180236e-02,3.333333e-01,1.111111e-01,8.473433e-01,6.217520e-01,1,1.020204e-02,3.333333e-01,1.000000e-01,5.002384e-01,2.556798e-01,0,9.001800e-03,3.333333e-01,1.000000e-01,5.539315e-01,1.257569e-01,0,7.201440e-03,3.333333e-01,0,1.664868e-01,9.571617e-01,1,1.460292e-02,0,0,7.912747e-02,1.158824e-01,1,4.200840e-03,-1
5.555556e-02,1.666667e-01,1.043810e+00,-6.360235e-01,1,7.801560e-03,1.176471e-01,1.666667e-01,9.257248e-01,1.594684e+00,1,1.100220e-02,1.875000e-01,1.666667e-01,7.439681e-01,1.941097e+00,1,6.001200e-03,1.875000e-01,1.666667e-01,9.046331e-01,-1.053919e+00,1,8.201640e-03,5.555556e-02,1.578947e-01,8.257738e-01,1.865243e+00,1,5.001000e-03,5.555556e-02,1.666667e-01,8.131516e-01,-1.107939e+00,1,6.201240e-03,1.875000e-01,1.666667e-01,8.120816e-01,-6.634929e-01,1,9.201840e-03,1.875000e-01,1.666667e-01,1.236054e+00,-1.034040e+00,1,1.040208e-02,1.176471e-01,1.666667e-01,1.187541e+00,-8.296458e-01,1,7.801560e-03,1.875000e-01,1.666667e-01,1.106190e+00,-1.112276e+00,1,8.801760e-03,1.875000e-01,1.666667e-01,1.170285e+00,-1.336484e-01,1,9.401880e-03,1.176471e-01,1.666667e-01,1.053583e+00,7.230835e-01,1,1.200240e-02,1
1.333333e-01,2.307692e-01,1.057375e+00,-9.328055e-01,1,3.600720e-03,2.142857e-01,2.307692e-01,1.031442e+00,1.520980e+00,1,9.401880e-03,1.333333e-01,2.307692e-01,9.001964e-01,-4.351689e-01,1,5.201040e-03,2.142857e-01,2.307692e-01,1.078898e+00,-7.346371e-01,1,5.801160e-03,2.142857e-01,2.307692e-01,9.170327e-01,1.168031e+00,1,5.401080e-03,1.333333e-01,2.307692e-01,7.127274e-01,-1.397556e+00,1,5.201040e-03,2.142857e-01,2.307692e-01,9.264959e-01,-3.560019e-01,1,1.460292e-02,2.142857e-01,2.307692e-01,9.940097e-01,-2.507524e+00,1,8.001600e-03,2.142857e-01,2.307692e-01,1.011949e+00,-3.268152e+00,1,9.401880e-03,0,2.307692e-01,7.053571e-01,-1.226250e+00,1,1.020204e-02,1.333333e-01,2.307692e-01,5.283938e-01,-9.382201e-01,1,9.801960e-03,1.333333e-01,2.307692e-01,6.761048e-01,-7.596988e-01,1,1.080216e-02,1
3.000000e-01,2.142857e-01,7.823492e-01,-1.312282e-01,1,8.001600e-03,1.818182e-01,2.142857e-01,9.694112e-01,4.914170e-01,1,1.020204e-02,1.818182e-01,2.142857e-01,1.192153e+00,8.716507e-01,1,1.640328e-02,3.000000e-01,2.142857e-01,8.368761e-01,-3.706818e-01,1,1.000200e-02,3.000000e-01,2.142857e-01,1.163972e+00,5.607437e-01,1,1.640328e-02,3.000000e-01,2.142857e-01,1.033346e+00,-2.095568e+00,1,7.801560e-03,3.000000e-01,2.142857e-01,1.015810e+00,-1.087260e+00,1,1.840368e-02,1.818182e-01,2.142857e-01,9.235780e-01,-2.196983e+00,1,1.900380e-02,1.818182e-01,2.142857e-01,7.764670e-01,-1.160970e+00,1,3.000600e-02,3.000000e-01,2.142857e-01,1.088049e+00,-9.340765e-01,1,1.680336e-02,3.000000e-01,2.142857e-01,1.039337e+00,-3.206148e-01,1,1.060212e-02,3.000000e-01,2.142857e-01,9.848016e-01,3.012772e-01,1,8.801760e-03,1
